,ID,Symbol,Ensembl,Entrez,Uniprot,Reactions
0,ENSG00000000419,DPM1,"ENSG00000000419, ENST00000466152, ENST00000371582, ENST00000683048, ENST00000371588, ENST00000494752, ENST00000682366, ENST00000371584, ENST00000684193, ENST00000683466, ENST00000682713, ENST00000681979, ENST00000684708, ENST00000413082, ENST00000682754, ENST00000683010, ENST00000684628, ENSP00000507119, ENSP00000360638, ENSP00000506986, ENSP00000360644, ENSP00000360640, ENSP00000507404, ENSP00000394921",8813,O60762,"MAR07271, MAR07275"
1,ENSG00000001036,FUCA2,"ENSG00000001036, ENST00000002165, ENST00000451668, ENST00000367585, ENSP00000002165, ENSP00000398119",2519,Q9BTY2,"MAR07373, MAR07582, MAR07375, MAR07580"
2,ENSG00000001084,GCLC,"ENSG00000001084, ENST00000509541, ENST00000650454, ENST00000616923, ENST00000515580, ENST00000643939, ENST00000513939, ENST00000510837, ENST00000504353, ENST00000514373, ENST00000504525, ENST00000514004, ENST00000505294, ENST00000514933, ENST00000505197, ENSP00000495056, ENSP00000497574, ENSP00000482756, ENSP00000495686, ENSP00000424211, ENSP00000421228, ENSP00000421908, ENSP00000427403",2729,P48506,MAR04324
3,ENSG00000001630,CYP51A1,"ENSG00000001630, ENST00000003100, ENST00000450723, ENST00000422867, ENST00000482924, ENSP00000003100, ENSP00000406757, ENSP00000394268",1595,Q16850,"MAR01478, MAR01536, MAR01538, MAR02200, MAR01539, MAR01477, MAR01479"
4,ENSG00000002549,LAP3,"ENSG00000002549, ENST00000226299, ENST00000618908, ENST00000508497, ENST00000512397, ENST00000606142, ENST00000509583, ENST00000507960, ENST00000508014, ENST00000513105, ENST00000504614, ENST00000503467, ENSP00000226299, ENSP00000481000, ENSP00000476028, ENSP00000423350, ENSP00000424724",51056,P28838,"MAR07149, MAR04329, MAR04328"
5,ENSG00000002587,HS3ST1,"ENSG00000002587, ENST00000002596, ENST00000514690, ENST00000510712, ENSP00000002596, ENSP00000425673, ENSP00000422629",9957,O14792,"MAR07222, MAR07220"
6,ENSG00000002726,AOC1,"ENSG00000002726, ENST00000493429, ENST00000467291, ENST00000460213, ENST00000360937, ENST00000416793, ENST00000483043, ENST00000480582, ENSP00000418614, ENSP00000418328, ENSP00000418557, ENSP00000354193, ENSP00000411613, ENSP00000417392",26,P19801,"MAR04682, MAR06789, MAR08783, MAR06943, MAR06932, MAR06933, MAR06941, MAR06944, MAR06949, MAR06936, MAR08606, MAR04430, MAR06758, MAR07992, MAR06931, MAR09562, MAR04423, MAR06946, MAR06942, MAR06947, MAR06952, MAR06934, MAR06713, MAR06948, MAR06935, MAR06945, MAR08529, MAR06950, MAR06951, MAR08604"
7,ENSG00000002746,HECW1,"ENSG00000002746, ENST00000395891, ENST00000490954, ENST00000453890, ENST00000492310, ENST00000471527, ENST00000493057, ENST00000464944, ENST00000481031, ENST00000471043, ENST00000461842, ENST00000429529, ENSP00000379228, ENSP00000407774, ENSP00000413336",23072,Q76N89,MAR09491
8,ENSG00000003137,CYP26B1,"ENSG00000003137, ENST00000001146, ENST00000412253, ENST00000474509, ENST00000461519, ENST00000546307, ENSP00000001146, ENSP00000401465, ENSP00000430888, ENSP00000430871, ENSP00000443304",56603,Q9NR63,"MAR06642, MAR06684, MAR06703, MAR06664, MAR06681, MAR06665, MAR06641, MAR06682, MAR06702, MAR06683, MAR06687"
9,ENSG00000003987,MTMR7,"ENSG00000003987, ENST00000180173, ENST00000521857, ENST00000519590, ENST00000519763, ENST00000517317, ENST00000519122, ENST00000518272, ENST00000523571, ENST00000521177, ENSP00000180173, ENSP00000429733, ENSP00000431000",9108,Q9Y216,"MAR06545, MAR06557, MAR06547, MAR06591"
10,ENSG00000003989,SLC7A2,"ENSG00000003989, ENST00000494857, ENST00000522656, ENST00000470360, ENST00000640220, ENST00000004531, ENST00000398090, ENSP00000419140, ENSP00000430464, ENSP00000419873, ENSP00000492016, ENSP00000004531, ENSP00000381164",6542,P52569,"MAR05087, MAR06379, MAR05070, MAR05071, MAR05089, MAR05074, MAR05319, MAR05085, MAR05076, MAR05092, MAR05080, MAR05094, MAR05084, MAR05091, MAR05079, MAR05088, MAR05082, MAR05305, MAR05077, MAR05315, MAR05078, MAR05068, MAR05073, MAR06383, MAR04849"
11,ENSG00000004455,AK2,"ENSG00000004455, ENST00000629371, ENST00000373449, ENST00000672715, ENST00000354858, ENST00000672308, ENST00000548033, ENST00000482191, ENST00000491241, ENST00000467905, ENST00000480134, ENST00000550338, ENST00000469238, ENST00000466029, ENST00000673291, ENST00000487289, ENST00000548559, ENST00000551979, ENST00000626911, ENSP00000486507, ENSP00000362548, ENSP00000499935, ENSP00000346921, ENSP00000449003, ENSP00000447082, ENSP00000450109, ENSP00000450008, ENSP00000500549, ENSP00000446849, ENSP00000486342",204,P54819,"MAR04004, MAR04480, MAR04002"
12,ENSG00000004468,CD38,"ENSG00000004468, ENST00000502843, ENST00000506191, ENST00000511430, ENST00000226279, ENST00000510674, ENSP00000427277, ENSP00000226279, ENSP00000423047",952,P28907,"MAR07142, MAR07143, MAR07627, MAR08788, MAR07905"
13,ENSG00000004478,FKBP4,"ENSG00000004478, ENST00000001008, ENST00000543769, ENST00000540260, ENST00000538622, ENST00000543037, ENST00000539181, ENST00000544366, ENST00000630279, ENSP00000001008, ENSP00000439703, ENSP00000446368, ENSP00000438491, ENSP00000442193, ENSP00000486800",2288,Q02790,MAR09492
14,ENSG00000004779,NDUFAB1,"ENSG00000004779, ENST00000562133, ENST00000007516, ENST00000484769, ENST00000570319, ENST00000567761, ENSP00000454891, ENSP00000007516, ENSP00000454812, ENSP00000458770, ENSP00000461693",4706,O14561,MAR06921
15,ENSG00000004799,PDK4,"ENSG00000004799, ENST00000005178, ENST00000473796, ENST00000468445, ENST00000498190, ENST00000473301, ENSP00000005178",5166,Q16654,MAR09517
16,ENSG00000004809,SLC22A16,"ENSG00000004809, ENST00000460159, ENST00000451557, ENST00000368919, ENST00000330550, ENST00000434949, ENST00000437378, ENST00000424139, ENST00000461487, ENSP00000395642, ENSP00000357915, ENSP00000328583, ENSP00000409306, ENSP00000416310, ENSP00000401007",85413,Q86VW1,MAR08677
17,ENSG00000004864,SLC25A13,"ENSG00000004864, ENST00000265631, ENST00000494085, ENST00000490072, ENST00000484495, ENST00000492869, ENST00000472162, ENST00000487710, ENST00000416240, ENSP00000265631, ENSP00000473505, ENSP00000400101",10165,Q9UJS0,"MAR03825, MAR03864, MAR03863"
18,ENSG00000004939,SLC4A1,"ENSG00000004939, ENST00000399246, ENST00000262418, ENST00000471005, ENST00000498270, ENSP00000382190, ENSP00000262418",6521,P02730,"MAR06525, MAR09059"
19,ENSG00000004961,HCCS,"ENSG00000004961, ENST00000321143, ENST00000380763, ENST00000380762, ENSP00000326579, ENSP00000370140, ENSP00000370139",3052,P53701,MAR04762
20,ENSG00000005022,SLC25A5,"ENSG00000005022, ENST00000317881, ENST00000475354, ENST00000460013, ENST00000463551, ENSP00000360671",292,P05141,MAR06328
21,ENSG00000005075,POLR2J,"ENSG00000005075, ENST00000292614, ENST00000393794, ENSP00000292614, ENSP00000377383",5439,P52435,"MAR07162, MAR07161"
