,ID,Name,Formula,Formula weight,Charge,Compartment,KEGG,BiGG,ChEBI,VMH,Reactions
0,MAM00001c,(-)-trans-carveol,C10H16O,152.23344,0,c,C00964,carveol,CHEBI:15389,carveol,"MAR08596, MAR08597"
1,MAM00001e,(-)-trans-carveol,C10H16O,152.23344,0,e,C00964,carveol,CHEBI:15389,carveol,"MAR09277, MAR08597"
2,MAM00002c,(+)-alpha-pinene,C10H16,136.23404,0,c,C09880,appnn,CHEBI:36740,appnn,"MAR08601, MAR08600"
3,MAM00002e,(+)-alpha-pinene,C10H16,136.23404,0,e,C09880,appnn,CHEBI:36740,appnn,"MAR09267, MAR08600"
4,MAM00003c,(10Z)-heptadecenoic acid,C17H31O2,267.42683999999997,-1,c,,,CHEBI:78990,M00003,"MAR00242, MAR00687, MAR00690, MAR00240, MAR09738, MAR00685, MAR00241, MAR00688, MAR00691, MAR00243, MAR00686, MAR00689, MAR00692, MAR10033"
5,MAM00003l,(10Z)-heptadecenoic acid,C17H31O2,267.42683999999997,-1,l,,,CHEBI:78990,M00003,"MAR03549, MAR09738"
6,MAM00003r,(10Z)-heptadecenoic acid,C17H31O2,267.42683999999997,-1,r,,,CHEBI:78990,M00003,"MAR02955, MAR05257, MAR03695, MAR10034"
7,MAM00003e,(10Z)-heptadecenoic acid,C17H31O2,267.42683999999997,-1,e,,,CHEBI:78990,M00003,"MAR13040, MAR00240, MAR00016, MAR00012, MAR00015, MAR00243"
8,MAM00004c,(10Z)-heptadecenoyl-CoA,C38H62N7O17P3S,1013.921863,-4,c,,,,M00004,"MAR00551, MAR00242, MAR00497, MAR00546, MAR00549, MAR00552, MAR00241, MAR02648, MAR00545, MAR00547, MAR02288, MAR00550, MAR00553, MAR10036, MAR00548"
9,MAM00004m,(10Z)-heptadecenoyl-CoA,C38H62N7O17P3S,1013.921863,-4,m,,,,M00004,"MAR02650, MAR03396"
10,MAM00004r,(10Z)-heptadecenoyl-CoA,C38H62N7O17P3S,1013.921863,-4,r,,,,M00004,"MAR02955, MAR02814, MAR03636"
11,MAM00005c,(11R)-HPETE,C20H31O4,335.45774,-1,c,,,CHEBI:34127,M00005,"MAR01064, MAR00036"
12,MAM00006c,(11Z)-docosenoyl-CoA,C43H72N7O17P3S,1084.054763,-4,c,,,,M00006,"MAR00548, MAR02708, MAR00551, MAR00516, MAR02356, MAR00324, MAR00546, MAR00549, MAR00552, MAR00545, MAR00547, MAR00550, MAR00553, MAR10036, MAR00323"
13,MAM00006m,(11Z)-docosenoyl-CoA,C43H72N7O17P3S,1084.054763,-4,m,,,,M00006,"MAR02710, MAR03416"
14,MAM00006r,(11Z)-docosenoyl-CoA,C43H72N7O17P3S,1084.054763,-4,r,,,,M00006,"MAR02975, MAR03655, MAR02856"
15,MAM00007c,(11Z)-eicosenoyl-CoA,C41H68N7O17P3S,1056.001603,-4,c,,,CHEBI:74069,CE5151,"MAR00551, MAR00546, MAR00552, MAR02684, MAR00547, MAR00553, MAR00294, MAR10036, MAR02311, MAR00548, MAR02315, MAR00549, MAR00509, MAR00293, MAR00545, MAR00550"
16,MAM00007m,(11Z)-eicosenoyl-CoA,C41H68N7O17P3S,1056.001603,-4,m,,,CHEBI:74069,CE5151,"MAR02686, MAR03221, MAR03222"
17,MAM00007x,(11Z)-eicosenoyl-CoA,C41H68N7O17P3S,1056.001603,-4,x,,,CHEBI:74069,CE5151,"MAR03337, MAR03338"
18,MAM00007r,(11Z)-eicosenoyl-CoA,C41H68N7O17P3S,1056.001603,-4,r,,,CHEBI:74069,CE5151,"MAR02967, MAR03605, MAR03648, MAR03609, MAR02840"
19,MAM00008c,"(11Z,14Z)-eicosadienoic acid",C20H35O2,307.4907,-1,c,C16525,,CHEBI:77220,M00008,"MAR00687, MAR00690, MAR00431, MAR00685, MAR00688, MAR00691, MAR09739, MAR00429, MAR00430, MAR10033, MAR00686, MAR00689, MAR00692, MAR00428"
20,MAM00008l,"(11Z,14Z)-eicosadienoic acid",C20H35O2,307.4907,-1,l,C16525,,CHEBI:77220,M00008,"MAR03594, MAR09739"
21,MAM00008r,"(11Z,14Z)-eicosadienoic acid",C20H35O2,307.4907,-1,r,C16525,,CHEBI:77220,M00008,"MAR03740, MAR05257, MAR03002, MAR10034"
22,MAM00008e,"(11Z,14Z)-eicosadienoic acid",C20H35O2,307.4907,-1,e,C16525,,CHEBI:77220,M00008,"MAR00012, MAR00431, MAR00016, MAR13041, MAR00015, MAR00428"
23,MAM00009c,"(11Z,14Z)-eicosadienoyl-CoA",C41H66N7O17P3S,1053.985723,-4,c,C16180,,CHEBI:76410,CE4843,"MAR00551, MAR09948, MAR00546, MAR00552, MAR02768, MAR00429, MAR00430, MAR00547, MAR00553, MAR10036, MAR00548, MAR02430, MAR00542, MAR00549, MAR02433, MAR00545, MAR00550"
24,MAM00009m,"(11Z,14Z)-eicosadienoyl-CoA",C41H66N7O17P3S,1053.985723,-4,m,C16180,,CHEBI:76410,CE4843,"MAR02770, MAR03423"
25,MAM00009r,"(11Z,14Z)-eicosadienoyl-CoA",C41H66N7O17P3S,1053.985723,-4,r,C16180,,CHEBI:76410,CE4843,"MAR03681, MAR03492, MAR02901, MAR03002"
26,MAM00010c,"(11Z,14Z,17Z)-eicosatrienoic acid",C20H33O2,305.47482,-1,c,C16522,,CHEBI:53460,M00010,"MAR00687, MAR00690, MAR00383, MAR00685, MAR00382, MAR00381, MAR00688, MAR00691, MAR09740, MAR10033, MAR00686, MAR00689, MAR00692, MAR00380"
27,MAM00010l,"(11Z,14Z,17Z)-eicosatrienoic acid",C20H33O2,305.47482,-1,l,C16522,,CHEBI:53460,M00010,"MAR03582, MAR09740"
28,MAM00010r,"(11Z,14Z,17Z)-eicosatrienoic acid",C20H33O2,305.47482,-1,r,C16522,,CHEBI:53460,M00010,"MAR02989, MAR03728, MAR05257, MAR10034"
29,MAM00010e,"(11Z,14Z,17Z)-eicosatrienoic acid",C20H33O2,305.47482,-1,e,C16522,,CHEBI:53460,M00010,"MAR00012, MAR00383, MAR00016, MAR13042, MAR00015, MAR00380"
30,MAM00011c,"(11Z,14Z,17Z)-eicosatrienoylcarnitine",C27H47NO4,449.66638,0,c,,,,M00011,"MAR02734, MAR02871, MAR02733"
31,MAM00011m,"(11Z,14Z,17Z)-eicosatrienoylcarnitine",C27H47NO4,449.66638,0,m,,,,M00011,"MAR02734, MAR02735"
32,MAM00011r,"(11Z,14Z,17Z)-eicosatrienoylcarnitine",C27H47NO4,449.66638,0,r,,,,M00011,"MAR02872, MAR02871"
33,MAM00012c,"(11Z,14Z,17Z)-eicosatrienoyl-CoA",C41H64N7O17P3S,1051.969843,-4,c,C16179,,CHEBI:74328,M00012,"MAR00551, MAR02537, MAR00546, MAR00552, MAR00382, MAR00381, MAR02540, MAR00547, MAR00553, MAR10036, MAR00548, MAR00530, MAR00549, MAR02733, MAR00545, MAR00550"
34,MAM00012m,"(11Z,14Z,17Z)-eicosatrienoyl-CoA",C41H64N7O17P3S,1051.969843,-4,m,C16179,,CHEBI:74328,M00012,"MAR03431, MAR02735"
35,MAM00012r,"(11Z,14Z,17Z)-eicosatrienoyl-CoA",C41H64N7O17P3S,1051.969843,-4,r,C16179,,CHEBI:74328,M00012,"MAR02989, MAR02872, MAR03669"
36,MAM00013c,"(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate",C20H31O5,351.45714,-1,c,C04654,prostg1,CHEBI:15548,prostg1,"MAR00036, MAR08546"
37,MAM00014x,(13E)-tetranor-16-carboxy-LTE4,C19H25NO7S,411.46930000000003,-2,x,,,CHEBI:74057,CE6229,"MAR01304, MAR00036"
38,MAM00015x,(13E)-tetranor-16-oxo-16-CoA-LTE4,C40H56N8O22P3S2,1157.964323,-5,x,,,,CE6228,"MAR01304, MAR01303"
