,ID,Name,Subsystem,Reaction,Readable reaction,Lower bound,Upper bound,Reversibility,Boundary,Genes,EC,KEGG,BiGG,VMH
0,MAR03905,ethanol:NAD+ oxidoreductase,Glycolysis / Gluconeogenesis,MAM01796c + MAM02552c --> MAM01249c + MAM02039c + MAM02553c,ethanol [c] + NAD+ [c] --> acetaldehyde [c] + H+ [c] + NADH [c],0.0,1000.0,False,False,ENSG00000147576 or ENSG00000172955 or ENSG00000180011 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144,"1.1.1.1, 1.1.1.71",R00754,ALCD2x,ALCD2if
1,MAR03907,Ethanol:NADP+ oxidoreductase,Glycolysis / Gluconeogenesis,MAM01796c + MAM02554c --> MAM01249c + MAM02039c + MAM02555c,ethanol [c] + NADP+ [c] --> acetaldehyde [c] + H+ [c] + NADPH [c],0.0,1000.0,False,False,ENSG00000117448,1.1.1.2,R00746,ALCD2y,ALCD2yf
2,MAR04097,Acetate:CoA ligase (AMP-forming),Glycolysis / Gluconeogenesis,MAM01252c + MAM01371c + MAM01597c --> MAM01261c + MAM01334c + MAM02759c,acetate [c] + ATP [c] + CoA [c] --> acetyl-CoA [c] + AMP [c] + PPi [c],0.0,1000.0,False,False,ENSG00000131069,6.2.1.1,R00235,ACS,ACS
3,MAR04099,Acetate:CoA ligase (AMP-forming),Glycolysis / Gluconeogenesis,MAM01252m + MAM01371m + MAM01597m --> MAM01261m + MAM01334m + MAM02759m,acetate [m] + ATP [m] + CoA [m] --> acetyl-CoA [m] + AMP [m] + PPi [m],0.0,1000.0,False,False,ENSG00000111058 or ENSG00000154930,6.2.1.1,R00235,ACSm,ACSm
4,MAR04108,acetyl adenylate:CoA acetyltransferase,Glycolysis / Gluconeogenesis,MAM01257c + MAM01597c --> MAM01261c + MAM01334c + MAM02039c,acetyl adenylate [c] + CoA [c] --> acetyl-CoA [c] + AMP [c] + H+ [c],0.0,1000.0,False,False,ENSG00000131069,6.2.1.1,R00236,,r0068
5,MAR04133,ATP:acetate adenylyltransferase,Glycolysis / Gluconeogenesis,MAM01252c + MAM01371c + MAM02039c --> MAM01257c + MAM02759c,acetate [c] + ATP [c] + H+ [c] --> acetyl adenylate [c] + PPi [c],0.0,1000.0,False,False,ENSG00000131069,6.2.1.1,R00316,,r0097
6,MAR04281,(S)-Lactate:NAD+ oxidoreductase,Glycolysis / Gluconeogenesis,MAM02039x + MAM02553x + MAM02819x <=> MAM02403x + MAM02552x,H+ [x] + NADH [x] + pyruvate [x] <=> L-lactate [x] + NAD+ [x],-1000.0,1000.0,True,False,ENSG00000111716 or ENSG00000134333,1.1.1.27,R00703,,r0173
7,MAR04388,(S)-Lactate:NAD+ oxidoreductase,Glycolysis / Gluconeogenesis,MAM02039c + MAM02553c + MAM02819c <=> MAM02403c + MAM02552c,H+ [c] + NADH [c] + pyruvate [c] <=> L-lactate [c] + NAD+ [c],-1000.0,1000.0,True,False,ENSG00000111716 or ENSG00000134333 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989,1.1.1.27,R00703,LDH_L,LDH_L
8,MAR04283,Acetaldehyde:NADP+ oxidoreductase,Glycolysis / Gluconeogenesis,MAM01249c + MAM02040c + MAM02554c --> MAM01252c + 2.0 MAM02039c + MAM02555c,acetaldehyde [c] + H2O [c] + NADP+ [c] --> acetate [c] + 2.0 H+ [c] + NADPH [c],0.0,1000.0,False,False,ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254,1.2.1.5,R00711,,ALDD2y
9,MAR08357,Acetaldehyde:NAD+ oxidoreductase,Glycolysis / Gluconeogenesis,MAM01249m + MAM02040m + MAM02552m --> MAM01252m + 2.0 MAM02039m + MAM02553m,acetaldehyde [m] + H2O [m] + NAD+ [m] --> acetate [m] + 2.0 H+ [m] + NADH [m],0.0,1000.0,False,False,ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904,1.2.1.3,R00710,ALDD2xm,ALDD2xm
10,MAR04379,ATP:D-fructose-6-phosphate 1-phosphotransferase,Glycolysis / Gluconeogenesis,MAM01371c + MAM01845c --> MAM01285c + MAM01841c + MAM02039c,"ATP [c] + fructose-6-phosphate [c] --> ADP [c] + fructose-1,6-bisphosphate [c] + H+ [c]",0.0,1000.0,False,False,ENSG00000067057 or ENSG00000141959 or ENSG00000152556,2.7.1.11,R00756,PFK,PFK
11,MAR04301,UTP:D-fructose-6-phosphate 1-phosphotransferase,Glycolysis / Gluconeogenesis,MAM01845c + MAM03130c --> MAM01841c + MAM02039c + MAM03106c,"fructose-6-phosphate [c] + UTP [c] --> fructose-1,6-bisphosphate [c] + H+ [c] + UDP [c]",0.0,1000.0,False,False,ENSG00000067057 or ENSG00000141959 or ENSG00000152556,2.7.1.11,R00769,,r0191
12,MAR04355,"sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",Glycolysis / Gluconeogenesis,MAM01690c + MAM01785c --> MAM02883c,"DHAP [c] + erythrose-4-phosphate [c] --> sedoheptulose-1,7-bisphosphate [c]",0.0,1000.0,False,False,ENSG00000109107 or ENSG00000136872,4.1.2.13,R01829,,r0407
13,MAR04358,ATP:pyruvate 2-O-phosphotransferase,Glycolysis / Gluconeogenesis,MAM01285c + MAM02039c + MAM02696c --> MAM01371c + MAM02819c,ADP [c] + H+ [c] + PEP [c] --> ATP [c] + pyruvate [c],0.0,1000.0,False,False,ENSG00000067225 or ENSG00000143627,2.7.1.40,R00200,PYK,PYK
14,MAR04360,2-Oxopropanal:NADP+ oxidoreductase,Glycolysis / Gluconeogenesis,MAM02040c + MAM02475c + MAM02554c --> 2.0 MAM02039c + MAM02555c + MAM02819c,H2O [c] + methylglyoxal [c] + NADP+ [c] --> 2.0 H+ [c] + NADPH [c] + pyruvate [c],0.0,1000.0,False,False,ENSG00000180011,1.2.1.49,R00205,,r0055
